16:13:51.119  192.168.100.246:配置文件中获取网卡IP失败, ret = -3
16:14:06.122  192.168.100.246:连接设备失败,  设备已经连接
16:14:09.161  192.168.100.246:连接设备失败,  设备已经连接
16:14:33.838  192.168.100.246:连接设备失败,  设备已经连接
16:14:36.915  192.168.100.246:连接设备失败,  设备已经连接
16:14:39.923  192.168.100.246:连接设备失败,  设备已经连接
16:14:43.269  192.168.100.246:连接设备失败,  设备已经连接
16:14:46.278  192.168.100.246:连接设备失败,  设备已经连接
16:14:49.401  192.168.100.246:连接设备失败,  设备已经连接
16:14:52.409  192.168.100.246:连接设备失败,  设备已经连接
16:22:41.683  192.168.100.246:配置文件中获取网卡IP失败, ret = -3
16:22:53.815  192.168.100.246:连接设备失败,  设备已经连接
16:23:14.943  192.168.100.246:连接设备失败,  设备已经连接
16:23:20.629  192.168.100.246:连接设备失败,  设备已经连接
16:23:25.987  192.168.100.246:连接设备失败,  设备已经连接
16:24:33.414  192.168.100.246:配置文件中获取网卡IP失败, ret = -3
16:24:41.538  192.168.100.246:连接设备失败,  设备已经连接
16:24:51.412  192.168.100.246:连接设备失败,  设备已经连接
16:27:25.041  192.168.100.246:配置文件中获取网卡IP失败, ret = -3
16:27:33.128  192.168.100.246:连接设备失败,  设备已经连接
16:27:37.514  192.168.100.246:连接设备失败,  设备已经连接
16:27:42.129  192.168.100.246:连接设备失败,  设备已经连接
16:28:16.761  192.168.100.246:配置文件中获取网卡IP失败, ret = -3
16:28:36.164  192.168.100.246:连接设备失败,  设备已经连接
16:31:58.595  192.168.100.246:配置文件中获取网卡IP失败, ret = -3
16:32:06.755  192.168.100.246:连接设备失败,  设备已经连接
16:32:16.807  192.168.100.246:连接设备失败,  设备已经连接
16:32:46.052  192.168.100.246:连接设备失败,  设备已经连接
16:39:10.500  192.168.100.246:连接设备失败,  设备已经连接
16:39:16.201  192.168.100.246:连接设备失败,  设备已经连接
16:39:24.430  192.168.100.246:连接设备失败,  设备已经连接
16:39:44.450  192.168.100.246:连接设备失败,  设备已经连接
16:42:07.593  192.168.100.246:配置文件中获取网卡IP失败, ret = -3
16:46:39.606  192.168.100.246:配置文件中获取网卡IP失败, ret = -3
16:47:00.951  192.168.100.246:配置文件中获取网卡IP失败, ret = -3
16:47:47.023  192.168.100.246:配置文件中获取网卡IP失败, ret = -3
16:51:33.834  192.168.100.246:配置文件中获取网卡IP失败, ret = -3
16:53:01.391  192.168.100.246:配置文件中获取网卡IP失败, ret = -3
16:54:47.481  192.168.100.246:配置文件中获取网卡IP失败, ret = -3
